X1,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.34405529185729544,0.35343616870188405,0.0215,0.01525,0.023
1,10.0,0.5,0.3487369278463533,0.3582851832379356,0.036000000000000004,0.0255,0.027999999999999997
2,10.0,1.0,0.35923968428034,0.4114429115502902,0.0755,0.0385,0.068
3,10.0,1.5,0.4019049758724772,0.4488796179777573,0.099,0.0665,0.081
4,10.0,2.0,0.4537819127908627,0.5027356627672974,0.161125,0.08225,0.128625
5,10.0,2.5,0.5007596334659843,0.5562635841995089,0.20800000000000002,0.1225,0.1635
6,10.0,3.0,0.5769038995490916,0.6161284787281057,0.285,0.17966666666666667,0.19866666666666666
7,10.0,3.5,0.6449877719992242,0.7195965655324588,0.379,0.2235,0.278
8,10.0,4.0,0.7417849676760422,0.7794265080598164,0.4665,0.305,0.3371666666666667
9,10.0,5.0,0.8939932568378887,0.958941739893197,0.652,0.4415,0.494
14,20.0,0.0,0.2456883349877525,0.25127503890066066,0.023125,0.016625,0.020625
15,20.0,0.5,0.2586513701983895,0.26350107468777445,0.0505,0.0375,0.0445
16,20.0,1.0,0.28198276643514986,0.2995536846045176,0.09566666666666666,0.06383333333333334,0.08566666666666667
17,20.0,1.5,0.3297609753732577,0.3618116025759176,0.18899999999999997,0.113,0.1435
18,20.0,2.0,0.3787931679833065,0.4198303550572395,0.27875,0.16425,0.210875
19,20.0,2.5,0.4473293753731597,0.5079401017918601,0.4165,0.235,0.308
20,20.0,3.0,0.5212735476230295,0.5930076573850099,0.5633333333333334,0.3233333333333333,0.4135
21,20.0,3.5,0.6186599881796505,0.6565493469571412,0.6685,0.46,0.509
22,20.0,4.0,0.7022452403764946,0.7540069360953836,0.7828333333333334,0.5693333333333334,0.632
23,20.0,5.0,0.8653392768663942,0.923360594984074,0.9345,0.768,0.8029999999999999
28,30.0,0.0,0.19663271074856226,0.2041411995263592,0.021,0.01875,0.020375
29,30.0,0.5,0.2087168853979168,0.22200744676118886,0.0615,0.042,0.0575
30,30.0,1.0,0.24065753756641056,0.2619881004089213,0.12733333333333333,0.07983333333333334,0.10216666666666667
31,30.0,1.5,0.2970923939846975,0.3220924928729605,0.24,0.1515,0.1835
32,30.0,2.0,0.3565869198251027,0.4030763613953036,0.4045,0.23675,0.303
33,30.0,2.5,0.4370883552210701,0.4889562054014152,0.578,0.35600000000000004,0.441
34,30.0,3.0,0.519647635581908,0.5774547572228466,0.7386666666666667,0.493,0.5865
35,30.0,3.5,0.6017240594580266,0.6583402189145122,0.8565,0.626,0.7140000000000001
36,30.0,4.0,0.6850207535323264,0.7504218790205459,0.9286666666666666,0.7486666666666667,0.8173333333333334
37,30.0,5.0,0.8743612355493028,0.911333782464467,0.9890000000000001,0.9209999999999999,0.9275
42,40.0,0.0,0.17090655992665804,0.17692149301972113,0.021375,0.019875,0.021125
43,40.0,0.5,0.18214885448318394,0.1907988867516888,0.063,0.0385,0.051
44,40.0,1.0,0.22231901850642,0.2379763759482953,0.156,0.10033333333333333,0.12266666666666665
45,40.0,1.5,0.2731259441761077,0.3172751145443535,0.331,0.17300000000000001,0.256
46,40.0,2.0,0.3452996111773813,0.39377276897866215,0.525125,0.300875,0.38775
47,40.0,2.5,0.4307541314460108,0.4864866079689453,0.7105,0.461,0.5675
48,40.0,3.0,0.505463497628391,0.5774565953377516,0.8548333333333333,0.604,0.7115
49,40.0,3.5,0.60576838884563,0.656454869760016,0.9335,0.767,0.8270000000000001
50,40.0,4.0,0.6914261702647693,0.751198249822066,0.983,0.8715,0.9178333333333332
51,40.0,5.0,0.8646106188871256,0.9015727599472156,0.9985,0.982,0.9790000000000001
56,50.0,0.0,0.15254903633600106,0.15450744616751655,0.02025,0.01775,0.020375
57,50.0,0.5,0.16706102669220926,0.1705722511370346,0.07,0.048,0.0565
58,50.0,1.0,0.20244662713594336,0.2301357156356261,0.18983333333333333,0.10666666666666667,0.15716666666666668
59,50.0,1.5,0.2727394432228462,0.3024685346748285,0.395,0.23199999999999998,0.289
60,50.0,2.0,0.3429326724462478,0.3876849318752665,0.603375,0.371875,0.468875
61,50.0,2.5,0.42300163852996897,0.4840446556545329,0.8155,0.5485,0.6755
62,50.0,3.0,0.5104257642347609,0.5712151638975913,0.922,0.7240000000000001,0.8059999999999999
63,50.0,3.5,0.5954589953009717,0.6615100564612492,0.9785,0.845,0.909
64,50.0,4.0,0.6795933187138444,0.7459144066164577,0.9923333333333332,0.9246666666666666,0.963
65,50.0,5.0,0.8722177903757,0.9107899177991744,1.0,0.993,0.9985
70,60.0,0.0,0.1383938670761312,0.143151056509782,0.02125,0.0175,0.0215
71,60.0,0.5,0.1556987477571241,0.1654935601636655,0.0895,0.0505,0.076
72,60.0,1.0,0.19612756497114855,0.223246710082025,0.22875,0.13025,0.18899999999999997
73,60.0,1.5,0.26530860764973724,0.3054464104303919,0.4685,0.2645,0.3685
74,60.0,2.0,0.33945461701189616,0.3880322032240207,0.70075,0.431,0.5565
75,60.0,2.5,0.4245174740936161,0.4887207143979722,0.8905,0.6405,0.7465
76,60.0,3.0,0.5117372138138239,0.5702207632522931,0.96175,0.80175,0.88425
77,60.0,3.5,0.5950529991115854,0.6641354148776003,0.993,0.9155,0.9520000000000001
78,60.0,4.0,0.6823529647026084,0.7460438866056572,0.9975,0.96425,0.98175
79,60.0,5.0,0.8574990466949725,0.9134278752212088,1.0,0.9975,0.9990000000000001
84,70.0,0.0,0.12711263604785009,0.13176661820059007,0.01975,0.0195,0.02075
85,70.0,0.5,0.14653037695207907,0.15523783051733614,0.0955,0.067,0.08199999999999999
86,70.0,1.0,0.18870230120917672,0.21873765304777465,0.26925,0.14325,0.2055
87,70.0,1.5,0.2645336655097717,0.29470213422403624,0.509,0.318,0.3935
88,70.0,2.0,0.3362239580114483,0.3847102146830588,0.7609999999999999,0.5,0.61125
89,70.0,2.5,0.421133535954792,0.482810245549595,0.9205,0.7095,0.81
90,70.0,3.0,0.5113279877845788,0.5715385827797334,0.98375,0.8655,0.92325
91,70.0,3.5,0.5966073514441511,0.6588753715833814,0.997,0.9505,0.9795
92,70.0,4.0,0.6850991508710824,0.7437850903059644,0.99875,0.98525,0.99325
93,70.0,5.0,0.8592451853111635,0.9059800022409988,1.0,1.0,0.9995
98,75.0,0.0,0.12388397039598385,0.1276345584041928,0.021,0.01775,0.019
99,75.0,1.0,0.18776823003342635,0.21327907191694095,0.28,0.1545,0.2125
100,75.0,2.0,0.33921015248655295,0.3836023903472199,0.7925,0.53525,0.6485
101,75.0,3.0,0.5109062526961942,0.5677233791671489,0.9885,0.8905,0.9355
102,75.0,4.0,0.6878395391168991,0.7422557811595779,0.9995,0.9915,0.9955
105,80.0,0.0,0.11855395342365273,0.1228735753581084,0.01875,0.01425,0.02
106,80.0,0.5,0.13368145577701004,0.14507525767395413,0.10300000000000001,0.055,0.0775
107,80.0,1.0,0.1847236627377493,0.213371544113858,0.29825,0.16875,0.23199999999999998
108,80.0,1.5,0.25634563436902563,0.29095487522137353,0.565,0.35,0.431
109,80.0,2.0,0.3386614129955421,0.3842551751361567,0.82575,0.56525,0.67425
110,80.0,2.5,0.4195551003407951,0.4787411556318733,0.9420000000000001,0.768,0.8535
111,80.0,3.0,0.5062936852072439,0.5687825799605085,0.992,0.902,0.953
112,80.0,3.5,0.6017766098931298,0.6523602088115781,0.9990000000000001,0.971,0.9865
113,80.0,4.0,0.6855014701434243,0.740152297577422,0.99975,0.9945,0.99825
114,80.0,5.0,0.8597767365420871,0.9169294719993406,1.0,0.9990000000000001,1.0
119,90.0,0.0,0.11319436453398615,0.11580042707499905,0.02475,0.018000000000000002,0.02275
120,90.0,0.5,0.12986324290461596,0.13945949672317035,0.1,0.063,0.0835
121,90.0,1.0,0.18171618466627992,0.20650994608267934,0.32,0.1755,0.247
122,90.0,1.5,0.2543686340843256,0.2985662617640121,0.6345,0.3595,0.4935
123,90.0,2.0,0.3341574876498428,0.3884771535396003,0.87075,0.6135,0.74475
124,90.0,2.5,0.4247215248756422,0.4800866683374413,0.971,0.8145,0.898
125,90.0,3.0,0.5073102572225041,0.5700165371854243,0.99525,0.9329999999999999,0.96575
